pop,sex,wt,sl,spot
HN,F,66.40,131.8,1
BROD,M,2.78,45.0,0
HN,F,56.60,126.7,1
LC,F,21.10,103.8,0
6T,F,50.00,120.3,0
BF,F,41.10,107.8,0
BP,M,16.00,80.3,1
CKL,F,16.00,81.5,0
HN,M,56.60,119.5,1
HS,F,6.10,63.2,0
LC,F,3.40,55.4,0
CS,F,1.80,46.2,0
BP,M,1.60,40.7,0
6T,F,6.90,64.8,0
BSS,F,2.00,46.5,0
BP,F,8.20,67.5,0
CS,F,13.20,83.7,0
FL,M,20.10,87.1,1
LC,M,4.10,61.7,0
UC,M,4.40,59.6,1
CKAN,F,13.20,68.0,1
FL,F,48.60,107.1,1
LC,F,4.60,65.7,0
HS,F,8.41,70.3,0
LC,M,2.70,54.9,0
LC,F,3.30,56.1,0
HS,F,9.30,63.5,0
6T,M,28.80,99.3,0
CS,F,9.00,76.4,0
BF,M,11.10,72.7,1
BF,M,31.20,113.5,1
BP,M,16.20,79.2,0
6T,F,52.50,119.4,1
CKAN,M,15.10,73.0,1
CKL,M,11.10,75.5,0
FL,M,23.60,94.8,1
LC,M,11.30,86.0,1
UC,M,2.20,51.3,0
CKAN,M,10.84,65.0,1
CKAN,M,50.18,106.0,1
HN,F,51.10,135.2,1
LC,F,5.00,65.1,1
HS,F,6.40,64.0,0
BSR,F,7.10,67.2,0
CKL,F,4.20,53.4,0
BF,F,12.70,78.0,0
CS,M,4.30,60.2,0
FL,F,3.00,44.5,0
FL,M,10.70,69.1,1
BF,F,41.60,107.4,1
BP,F,10.80,70.7,0
BSS,F,1.40,43.1,0
CKL,F,12.80,78.5,0
HN,F,19.60,87.5,0
BF,M,40.60,111.3,1
CS,M,1.70,45.6,0
BP,M,3.20,52.2,0
LC,M,4.10,63.6,0
BSS,F,1.70,45.5,0
BSS,M,3.90,61.9,0
HN,F,32.80,114.6,0
6T,F,14.40,79.0,0
6T,M,10.10,71.1,0
BF,M,15.70,83.5,0
HN,M,84.60,129.3,1
6T,M,27.70,96.3,0
6T,F,73.40,129.9,0
BF,M,37.70,116.9,1
HS,F,7.10,66.5,0
6T,F,40.30,116.7,0
BF,M,27.90,98.4,1
FL,M,18.40,86.5,1
LC,F,2.90,54.5,0
CKAN,M,39.50,95.0,1
LC,M,3.40,55.7,0
UC,M,1.60,48.4,0
HS,M,10.90,76.0,1
HN,M,49.30,124.0,1
BP,M,15.10,81.5,0
LC,F,3.70,59.0,0
BP,F,32.30,99.5,0
CS,F,14.10,84.4,1
FL,F,26.50,92.3,1
6T,F,46.30,122.4,0
BP,M,15.40,76.6,1
UC,F,9.50,76.4,0
BSS,F,2.50,52.5,0
CKAN,F,50.06,110.0,1
UC,F,2.90,55.7,0
BF,F,35.60,99.6,1
BROD,M,26.56,84.0,0
FL,F,2.60,43.4,0
BSS,M,7.20,61.5,0
FL,F,15.80,80.8,0
LC,F,5.00,68.2,0
HN,M,58.80,136.5,1
BROD,F,24.94,83.0,0
CKAN,F,8.22,60.0,1
BP,F,22.60,54.4,0
FL,M,2.20,44.0,0
CS,F,8.30,72.8,0
CKL,F,4.90,54.0,0
6T,F,24.90,92.9,0
UC,M,9.20,74.7,0
BP,F,3.80,53.5,0
BSS,M,3.00,51.2,0
UC,F,8.70,75.1,0
HS,F,6.50,65.2,0
CS,M,21.70,97.7,1
UC,F,5.70,66.8,0
BP,M,5.47,61.0,0
CS,M,5.30,62.9,0
UC,M,4.80,61.2,0
UC,M,8.30,72.2,1
FL,M,32.80,96.8,0
UC,M,10.10,79.4,1
UC,M,10.50,78.3,0
HS,M,6.70,68.1,0
UC,M,7.50,71.0,0
UC,M,3.30,57.5,0
CKAN,F,18.17,77.0,1
BP,M,4.50,54.7,1
LC,M,3.00,54.6,0
CKAN,M,18.19,74.0,1
FL,M,4.20,55.3,0
